chamber_size,top,bottom,dt,Coalescence
0.761441,0.7660108,0.0,0.0,1.0
0.62478256,0.07813461,0.4844517,0.24874331,1.0
0.5007856,0.0,0.0,0.10744256,1.0
0.5163622,0.0,0.0,0.11107065,1.0
0.5007856,0.0,0.0,0.10744256,1.0
0.50261056,0.0,0.0,0.113513805,1.0
0.5050734,0.0,0.0,0.12170705,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.85220194,0.79056394,0.0,0.0,1.0
0.7847351,0.81635237,0.0,0.0,1.0
0.5259441,0.14121217,0.2253497,0.100212425,1.0
0.5205646,0.0,2.5010318e-06,0.097752,1.0
0.67867225,0.4872634,0.0016575481,0.0,1.0
1.0062487,1.1913167,0.0,0.0,1.0
0.77079046,0.7862162,0.0,0.0,1.0
0.52072275,0.0,0.0,0.12503271,1.0
0.5022887,0.0,0.0,0.112443,1.0
0.81408477,0.7210598,0.0,0.0,1.0
0.8321719,0.83887345,0.0,0.0,1.0
0.5269828,0.15366396,0.25213102,0.10118556,1.0
0.7310306,0.70028996,0.0,0.0,1.0
0.7310306,0.70028996,0.0,0.0,1.0
0.5007856,0.0,0.0,0.10744256,1.0
0.6639943,0.262389,0.14735578,0.3137379,1.0
0.5018148,0.0,0.0,0.10693828,1.0
0.6581098,0.45695066,0.14444637,0.0,1.0
0.7045939,0.508285,0.0,0.0,1.0
0.51800406,0.0,0.0,0.09900657,1.0
0.5732535,0.0,0.0,0.20139872,1.0
1.0275446,1.2026184,0.0,0.0,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.5034322,0.0,0.0,0.11624725,1.0
0.80272716,0.72061294,0.0,0.0,1.0
0.7310306,0.70028996,0.0,0.0,1.0
0.50102645,0.0,0.0,0.10824378,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.5045,0.0,0.0,0.119799405,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.71712244,0.66888666,0.0,0.0,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.5013522,0.0,0.0,0.109327525,1.0
0.7646626,0.6608776,0.0,0.0,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.5042101,0.0,0.0,0.118835114,1.0
0.53060466,0.0,0.017999731,0.11432965,1.0
0.5012003,0.0,0.0,0.1088223,1.0
0.79106444,0.6703286,0.0,0.0,1.0
0.7181099,0.54157406,0.0,0.0,1.0
0.5225045,0.099977694,0.13666266,0.09699,1.0
0.52555305,0.0,0.0,0.12771626,1.0
0.6287621,0.27063128,0.3605642,0.0,1.0
0.64538383,0.05712789,0.49767378,0.2805488,1.0
0.51208836,0.0,0.0,0.122148484,1.0
0.5007856,0.0,0.0,0.10744256,1.0
0.52159745,0.049811784,0.07612891,0.09724597,1.0
0.5121287,0.0,0.0,0.12232172,1.0
0.5075538,0.0,0.0,0.10412648,1.0
0.5806757,0.06957763,0.34800225,0.0,1.0
0.77113193,0.7869542,0.0,0.0,1.0
0.7771258,0.63951594,0.0,0.0,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.52792865,0.16500302,0.27651903,0.10207164,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.8866737,0.9532516,0.0,0.0,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.82216376,0.7636227,0.0,0.0,1.0
0.5127317,0.0,0.0,0.10158968,1.0
0.5114949,0.0,0.0,0.10219564,1.0
0.6352039,0.31142348,0.31412724,0.0,1.0
0.5037948,0.0,0.0,0.105968215,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.531503,0.20785336,0.36868152,0.10542042,1.0
0.60895437,0.21744762,0.4146186,0.0,1.0
0.763855,0.6832478,0.0,0.0,1.0
0.56273526,0.0,0.17476946,0.0138307465,1.0
0.51588815,0.0,0.0,0.123534955,1.0
0.7310306,0.70028996,0.0,0.0,1.0
0.57123995,0.0,0.030799963,0.17814861,1.0
