chamber_size,top,bottom,dt,Coalescence
0.4705127,0.59095764,0.0,0.0,1.0
0.6252115,0.3619417,0.2731697,0.15155205,1.0
0.40552962,0.6531679,0.0,0.0,1.0
0.25829294,0.794122,0.0,0.0,1.0
0.0,0.40294006,0.0,0.0,1.0
0.6266455,0.4346287,0.0,0.0,1.0
0.0,0.3266223,0.0,0.0,1.0
0.6438044,0.36240754,0.3423214,0.20649187,1.0
0.6225834,0.4453758,0.0,0.0,1.0
0.6433323,0.35833493,0.38052914,0.22173886,1.0
0.63981616,0.35624573,0.38477933,0.22267109,1.0
0.6974174,0.37373495,0.48126942,0.27414176,1.0
0.0,0.69295275,0.0,0.0,1.0
0.4337241,0.6261765,0.0,0.0,1.0
0.0,0.40104032,0.0,0.0,1.0
0.6203239,0.36554718,0.2221874,0.1167101,1.0
0.0,0.44139162,0.0,0.0,1.0
0.2842969,0.7692277,0.0,0.0,1.0
0.0,0.37617818,0.0,0.0,1.0
0.63425964,0.35573414,0.36380395,0.21301821,1.0
0.63755417,0.35603747,0.3762404,0.21874148,1.0
0.0,0.32696372,0.0,0.0,1.0
0.50452435,0.46521318,0.0,0.0,1.0
0.0,0.37965736,0.0,0.0,1.0
0.6411971,0.35637283,0.38999197,0.22506994,1.0
0.5567537,0.50839657,0.0,0.0,1.0
0.0,0.37212908,0.0,0.0,1.0
0.0,0.44665295,0.0,0.0,1.0
0.6451952,0.35674095,0.40508455,0.23201557,1.0
0.49129474,0.5710624,0.0,0.0,1.0
0.16255882,0.47379825,0.0,0.0,1.0
0.60374784,0.46340767,0.0,0.0,1.0
0.64381063,0.4250543,0.0,0.0,1.0
0.5612524,0.5040898,0.0,0.0,1.0
0.6410207,0.35746777,0.37829772,0.22033256,1.0
0.6433323,0.35833493,0.38052914,0.22173886,1.0
0.62030673,0.4071858,0.0,0.0,1.0
0.56131667,0.4143236,0.0,0.0,1.0
0.5486248,0.51617855,0.0,0.0,1.0
0.0,0.45893633,0.0,0.0,1.0
