chamber_size,top,bottom,dt,Coalescence
0.50181663,0.58969,0.2533545,0.1212564,1.0
0.6015473,0.39588964,0.2897204,0.14189461,1.0
0.68875813,0.34476706,0.38235646,0.18363525,1.0
0.46505162,0.6581433,0.24209563,0.11605004,1.0
0.7932087,0.3078901,0.41903913,0.16782525,1.0
0.7583692,0.32019037,0.4068036,0.1730987,1.0
0.9880883,0.19405562,0.6321069,0.13484418,1.0
0.5996548,0.37622556,0.3510637,0.19712226,1.0
0.6196463,0.3691674,0.35808465,0.19409625,1.0
0.81012946,0.30191603,0.42498168,0.16526406,1.0
0.58325094,0.43806633,0.2782928,0.13278845,1.0
0.60546875,0.38895774,0.2906559,0.1421531,1.0
0.60500187,0.38978308,0.29054454,0.14212234,1.0
0.8458599,0.28930116,0.43753007,0.15985578,1.0
0.67878306,0.34828886,0.37885326,0.18514508,1.0
0.5784925,0.41050288,0.30299315,0.16137373,1.0
0.59208083,0.37889963,0.34840375,0.19826867,1.0
0.5968436,0.40055227,0.29122105,0.14451836,1.0
0.59704125,0.4103567,0.2839761,0.13637464,1.0
0.77332914,0.31490868,0.41205752,0.17083426,1.0
0.59742624,0.40939936,0.28426668,0.13662232,1.0
0.9496297,0.25266454,0.47397366,0.14414883,1.0
0.56333184,0.41872367,0.31271863,0.17529875,1.0
0.55050635,0.4256781,0.3209462,0.18707897,1.0
0.5818891,0.4086612,0.30081427,0.15825401,1.0
0.6060844,0.3878724,0.29080072,0.14219137,1.0
0.5570188,0.4221468,0.31676844,0.18109727,1.0
0.815198,0.3001266,0.42676172,0.16449688,1.0
0.59688973,0.412672,0.2824695,0.13471986,1.0
0.59520376,0.41581124,0.2819532,0.1344811,1.0
0.5664998,0.41700587,0.3106864,0.17238899,1.0
0.56705314,0.3877358,0.3396141,0.20205696,1.0
0.56842065,0.38725302,0.34009436,0.20184997,1.0
0.5930993,0.40258256,0.293623,0.14795749,1.0
0.58998156,0.4255345,0.28035396,0.13374159,1.0
0.52872497,0.539589,0.26159486,0.12506695,1.0
0.5758795,0.38461956,0.3427139,0.20072097,1.0
0.58405805,0.4365636,0.27853996,0.13290274,1.0
0.5040092,0.58560765,0.25402594,0.12156689,1.0
0.9273603,0.26052693,0.4661527,0.14751957,1.0
0.8132188,0.30082527,0.42606658,0.16479649,1.0
0.5536731,0.42396098,0.31891468,0.18417029,1.0
0.49416828,0.60393053,0.25101227,0.1201733,1.0
0.72277135,0.33275846,0.3943018,0.1784869,1.0
0.48309872,0.62454116,0.24762236,0.11860572,1.0
0.6034414,0.39254144,0.29017228,0.14201948,1.0
0.59248024,0.40291822,0.2940201,0.14852604,1.0
0.6054101,0.3890614,0.29064193,0.14214925,1.0
0.5831146,0.40799662,0.3000281,0.15712833,1.0
0.5943632,0.40189722,0.29281217,0.14679657,1.0
0.56377107,0.41848555,0.31243685,0.1748953,1.0
0.5605447,0.4202349,0.31450653,0.17785868,1.0
0.5480391,0.5036277,0.26750958,0.12780203,1.0
0.5741059,0.3852458,0.34209102,0.20098943,1.0
0.5954872,0.4152835,0.28204,0.13452126,1.0
0.59684426,0.41275677,0.2824556,0.13471343,1.0
0.59347147,0.40238076,0.2933842,0.1476156,1.0
0.5974787,0.41157547,0.28264987,0.13480327,1.0
0.5546611,0.42342523,0.3182809,0.18326283,1.0
0.48006186,0.6301955,0.24669236,0.11817568,1.0
0.4711697,0.6467518,0.24396925,0.11691645,1.0
0.8219925,0.2977278,0.42914793,0.16346842,1.0
0.66282225,0.35392386,0.3732479,0.18756104,1.0
0.58094615,0.44235775,0.27758697,0.13246207,1.0
0.87732625,0.2781918,0.44858092,0.15509291,1.0
0.97499424,0.21971066,0.5599588,0.13845314,1.0
0.58226544,0.43990126,0.277991,0.13264889,1.0
0.5945547,0.41701972,0.28175443,0.1343892,1.0
0.59461564,0.41690627,0.2817731,0.13439782,1.0
0.5559985,0.4227001,0.3174229,0.18203436,1.0
0.5960872,0.37748513,0.34981078,0.19766226,1.0
0.7098486,0.3373209,0.38976339,0.18044294,1.0
0.5973694,0.40954083,0.28422374,0.13658571,1.0
0.5949571,0.41627043,0.28187767,0.13444617,1.0
0.5577092,0.42177248,0.3163255,0.1804631,1.0
0.96446824,0.24033423,0.501961,0.14135423,1.0
0.8082384,0.3025837,0.4243175,0.16555034,1.0
0.59474874,0.41665843,0.28181386,0.13441667,1.0
0.54712033,0.42751423,0.32311824,0.19018896,1.0
0.60510534,0.37430125,0.3529779,0.19629721,1.0
0.61970586,0.36914644,0.35810557,0.19408724,1.0
0.5921854,0.42143118,0.28102887,0.13405368,1.0
0.56740284,0.4165162,0.31010708,0.17155951,1.0
0.5895386,0.42635933,0.2802183,0.13367885,1.0
0.5990618,0.405333,0.28550094,0.1376743,1.0
0.5960301,0.4142726,0.28220627,0.13459812,1.0
0.5946719,0.41680142,0.28179035,0.1344058,1.0
0.56862205,0.46530408,0.27381286,0.13071682,1.0
0.7828008,0.31156462,0.4153839,0.16940065,1.0
0.56913227,0.46435407,0.2739691,0.13078909,1.0
0.59698904,0.4004734,0.29112768,0.14438468,1.0
0.5959108,0.4144947,0.28216973,0.13458125,1.0
0.49476776,0.6028143,0.25119588,0.120258205,1.0
0.57595503,0.38459295,0.34274042,0.20070952,1.0
0.95697206,0.25007227,0.47655225,0.14303742,1.0
0.7879713,0.3097391,0.41719982,0.16861802,1.0
0.52000296,0.5558286,0.25892386,0.12383181,1.0
0.56284195,0.41898933,0.31303293,0.17574874,1.0
0.6712798,0.3509379,0.37621814,0.18628083,1.0
0.59185916,0.42203858,0.28092897,0.13400748,1.0
0.58430916,0.436096,0.27861688,0.1329383,1.0
0.5938688,0.41829684,0.28154436,0.13429207,1.0
0.5594356,0.42083636,0.31521812,0.17887752,1.0
0.59503263,0.4161298,0.2819008,0.13445689,1.0
0.54748243,0.42731783,0.32288596,0.18985638,1.0
0.9548108,0.2508353,0.47579324,0.14336458,1.0
0.59518313,0.41584954,0.2819469,0.13447818,1.0
0.6345247,0.36391452,0.3633099,0.19184422,1.0
0.7739592,0.31468612,0.4122788,0.17073898,1.0
0.67183554,0.35074174,0.37641332,0.18619671,1.0
0.59655815,0.40070707,0.29140416,0.14478053,1.0
0.5660966,0.41722447,0.3109451,0.17275937,1.0
0.54860795,0.41697472,0.32915366,0.1966411,1.0
0.45548016,0.6759644,0.23916452,0.11469462,1.0
0.54897654,0.42650774,0.32192746,0.188484,1.0
0.5010665,0.5910866,0.25312477,0.121150166,1.0
0.59713334,0.3771158,0.35017815,0.19750392,1.0
0.5079753,0.57822305,0.25524053,0.122128546,1.0
0.95151514,0.2519989,0.4746358,0.14386345,1.0
0.6039466,0.37471032,0.35257095,0.19647263,1.0
0.56192744,0.4194852,0.31361958,0.17658873,1.0
0.5412796,0.5162133,0.26543957,0.12684484,1.0
0.58940566,0.42660683,0.2801776,0.13366003,1.0
0.5712632,0.41442293,0.3076307,0.1680138,1.0
0.7865573,0.31023836,0.4167032,0.16883203,1.0
0.60132295,0.39628622,0.28966686,0.14187983,1.0
0.86294454,0.28326935,0.4435301,0.15726978,1.0
0.59423965,0.4176063,0.28165796,0.13434458,1.0
0.5769661,0.4497682,0.27636814,0.13189845,1.0
0.5951457,0.41591924,0.28193542,0.1344729,1.0
0.5381075,0.5221195,0.26446816,0.12639563,1.0
0.5456801,0.4282952,0.32404214,0.19151182,1.0
0.60313535,0.39520463,0.28857517,0.14029449,1.0
0.58169454,0.40876666,0.30093908,0.1584327,1.0
0.9263089,0.2608982,0.46578345,0.14767873,1.0
0.6050675,0.37431464,0.3529646,0.19630295,1.0
0.76428837,0.3181006,0.40888238,0.17220275,1.0
0.5597245,0.48187056,0.2710881,0.12945683,1.0
0.55777967,0.39467165,0.33571562,0.20213817,1.0
0.6639255,0.35353428,0.37363535,0.18739402,1.0
0.54991657,0.425998,0.3213244,0.1876206,1.0
0.67407554,0.34995085,0.3772,0.18585768,1.0
0.5611921,0.41988394,0.31409127,0.17726408,1.0
0.5731827,0.41338208,0.3063994,0.16625081,1.0
0.97529805,0.21911556,0.56163263,0.13836938,1.0
0.5945323,0.41706145,0.28174758,0.13438602,1.0
0.5704555,0.46189034,0.27437434,0.13097647,1.0
0.911936,0.26597247,0.4607358,0.1498543,1.0
0.5788579,0.44624588,0.27694747,0.13216634,1.0
0.59770423,0.41115558,0.28271893,0.1348352,1.0
0.5087854,0.57671463,0.2554886,0.12224326,1.0
0.5903117,0.3795242,0.34778243,0.19853647,1.0
0.59195375,0.3789445,0.3483591,0.1982879,1.0
0.56790984,0.4666302,0.27359474,0.13061596,1.0
0.552197,0.40824714,0.33172145,0.19879219,1.0
1.0025574,0.1657067,0.71183115,0.13085619,1.0
0.5762732,0.41170633,0.30441687,0.1634122,1.0
0.7077884,0.33804825,0.38903984,0.1807548,1.0
0.7342065,0.3287212,0.39831778,0.17675604,1.0
0.60335886,0.39464897,0.28874382,0.14043824,1.0
0.9225504,0.26222515,0.46446347,0.14824764,1.0
0.59367925,0.37833533,0.34896508,0.19802672,1.0
0.5942763,0.41753802,0.28166917,0.13434976,1.0
0.5674033,0.41651592,0.3101068,0.1715591,1.0
0.6045485,0.39169124,0.2896416,0.14120343,1.0
0.5857613,0.43339226,0.27906156,0.13314395,1.0
0.59600973,0.4143105,0.28220004,0.13459526,1.0
0.524842,0.5468187,0.26040575,0.124517076,1.0
0.59407437,0.41791397,0.28160736,0.13432118,1.0
0.56823075,0.38732,0.3400277,0.2018787,1.0
0.63185287,0.36485782,0.36237153,0.19224864,1.0
0.81343967,0.30074733,0.42614418,0.16476305,1.0
0.58591104,0.43311343,0.27910742,0.13316517,1.0
0.57120734,0.41445327,0.30766654,0.16806513,1.0
0.54390156,0.42841935,0.32578647,0.19382033,1.0
0.5619859,0.38952482,0.3378345,0.20282397,1.0
0.5962724,0.400862,0.2915874,0.14504297,1.0
0.68337375,0.3466681,0.38046548,0.18445025,1.0
0.7859162,0.31046462,0.41647804,0.1689291,1.0
0.81250966,0.30107567,0.4258176,0.16490377,1.0
0.5699012,0.41516146,0.3085044,0.16926478,1.0
0.5886317,0.42804778,0.2799406,0.13355044,1.0
0.56989807,0.46292824,0.27420363,0.13089752,1.0
0.5755147,0.4121177,0.3049034,0.16410887,1.0
0.65208113,0.35771605,0.36947566,0.18918683,1.0
0.59537405,0.41549417,0.28200534,0.13450521,1.0
0.5481994,0.41796812,0.3288614,0.19639626,1.0
0.55773234,0.42175996,0.31631067,0.18044186,1.0
0.66349375,0.35368675,0.37348372,0.18745938,1.0
0.9603554,0.2483924,0.47929925,0.1424878,1.0
0.42741716,0.72821534,0.23057054,0.11072057,1.0
0.76731384,0.31703228,0.40994495,0.17174485,1.0
0.942968,0.2550166,0.47163403,0.14515714,1.0
0.51090395,0.5727702,0.25613737,0.12254328,1.0
0.624161,0.36757344,0.3596702,0.19341291,1.0
0.57626694,0.45106995,0.276154,0.13179944,1.0
0.55932677,0.39090946,0.3368225,0.20306544,1.0
0.5961073,0.41412902,0.28222987,0.13460904,1.0
0.5959374,0.41310146,0.283143,0.13566458,1.0
0.52168584,0.5526953,0.2594392,0.12407011,1.0
0.5951593,0.41589403,0.2819396,0.13447481,1.0
0.5523583,0.49558562,0.26883233,0.1284137,1.0
0.5951334,0.41594213,0.28193167,0.13447115,1.0
0.61433893,0.37104112,0.35622072,0.19489965,1.0
0.9176568,0.26395282,0.46274486,0.14898832,1.0
0.5943736,0.41735697,0.28169897,0.13436353,1.0
0.58893865,0.40483865,0.296292,0.15177901,1.0
0.5802069,0.3830918,0.34423366,0.20006597,1.0
0.73579925,0.3281588,0.39887714,0.17651495,1.0
0.5219328,0.5522355,0.25951484,0.12410508,1.0
0.5488694,0.41633892,0.32934073,0.19679782,1.0
0.52214074,0.55184823,0.25957853,0.124134526,1.0
0.6007152,0.40122208,0.2867487,0.1387378,1.0
0.54984397,0.50026727,0.2680623,0.12805763,1.0
0.567071,0.4166961,0.31032005,0.1718644,1.0
0.5793663,0.38338858,0.34393847,0.20019317,1.0
0.59628475,0.41379848,0.28228426,0.1346342,1.0
0.98759955,0.19501323,0.6294139,0.13497889,1.0
0.5903505,0.4040731,0.2953863,0.15048224,1.0
0.5191389,0.5574374,0.25865924,0.12370943,1.0
0.56890035,0.38708362,0.34026283,0.20177737,1.0
0.580863,0.4425125,0.27756152,0.13245028,1.0
0.9466694,0.25370958,0.47293404,0.1445969,1.0
0.5731872,0.45680416,0.2752109,0.13136332,1.0
0.5259346,0.5447845,0.26074034,0.124671794,1.0
0.48285374,0.62499726,0.24754733,0.11857103,1.0
0.5592342,0.39113453,0.3367563,0.20300998,1.0
0.886079,0.2751015,0.45165488,0.15376808,1.0
0.6003438,0.39801708,0.28943327,0.14181527,1.0
0.575525,0.45245144,0.2759268,0.13169436,1.0
0.5617135,0.41960117,0.3137568,0.17678519,1.0
0.6208499,0.36874247,0.35850736,0.1939141,1.0
0.54408044,0.5109984,0.26629728,0.12724146,1.0
0.5343075,0.52919483,0.26330444,0.12585747,1.0
0.9508017,0.25225076,0.47438523,0.14397144,1.0
0.6984171,0.34135684,0.38574868,0.18217325,1.0
0.59600693,0.4143158,0.28219917,0.13459484,1.0
0.97735643,0.2150823,0.57297516,0.13780205,1.0
0.55105454,0.41102523,0.3309041,0.19810748,1.0
0.5674647,0.41648272,0.31006742,0.17150271,1.0
0.6658045,0.35287097,0.37429523,0.18710959,1.0
0.5932681,0.41941524,0.28136042,0.13420701,1.0
0.595239,0.41574568,0.28196397,0.1344861,1.0
0.5465051,0.42784777,0.32351294,0.19075409,1.0
0.5532319,0.49395922,0.2690998,0.1285374,1.0
0.5855892,0.40665483,0.2984407,0.15485552,1.0
0.59507066,0.40151358,0.29235834,0.14614674,1.0
0.603028,0.37503466,0.35224834,0.19661167,1.0
0.8032523,0.30434418,0.42256638,0.166305,1.0
0.52026546,0.5553398,0.25900424,0.12386898,1.0
0.57393545,0.41297397,0.30591646,0.16555934,1.0
0.56868887,0.41581884,0.30928212,0.17037831,1.0
0.4481448,0.6896222,0.23691814,0.11365586,1.0
0.57165384,0.38611147,0.34122986,0.20136058,1.0
0.57849425,0.410502,0.30299205,0.16137214,1.0
0.590543,0.37944254,0.34786364,0.19850145,1.0
0.5995284,0.3990965,0.28949878,0.1420524,1.0
0.57785034,0.4481218,0.27663893,0.13202366,1.0
0.5957848,0.41472942,0.28213114,0.13456339,1.0
0.52561355,0.5453822,0.26064202,0.12462633,1.0
0.6706004,0.35117775,0.37597954,0.18638366,1.0
0.5981842,0.39982533,0.29036102,0.14328699,1.0
0.7964077,0.3067606,0.42016262,0.16734105,1.0
0.61278474,0.37158996,0.3556749,0.19513486,1.0
0.7025806,0.33988693,0.38721085,0.18154302,1.0
0.5711445,0.41448736,0.3077069,0.1681229,1.0
0.64846414,0.35899305,0.36820537,0.18973431,1.0
0.5930958,0.4197361,0.28130767,0.13418259,1.0
0.6130848,0.371484,0.35578027,0.19508943,1.0
0.56977814,0.41522822,0.30858338,0.16937785,1.0
0.58623326,0.4325135,0.2792061,0.13321078,1.0
0.5678331,0.41628295,0.3098311,0.17116438,1.0
0.5733434,0.41329497,0.3062963,0.16610318,1.0
0.797749,0.30628705,0.4206337,0.16713804,1.0
0.58067656,0.4093187,0.30159205,0.15936765,1.0
0.59153646,0.42263943,0.28083014,0.13396178,1.0
0.5950173,0.41538897,0.28244868,0.13507278,1.0
0.56841457,0.4159676,0.30945814,0.17063032,1.0
0.72838074,0.330778,0.39627177,0.17763785,1.0
0.5620551,0.41941595,0.3135377,0.17647144,1.0
0.5787305,0.38361302,0.34371516,0.20028944,1.0
0.5516711,0.4095259,0.33134523,0.19847701,1.0
0.86480194,0.28261355,0.44418246,0.15698865,1.0
0.5974087,0.41170582,0.28262845,0.13479336,1.0
0.59510624,0.41516775,0.28251582,0.13513002,1.0
0.5898808,0.40432775,0.2956876,0.1509136,1.0
0.77070296,0.31583586,0.4111352,0.17123182,1.0
0.5216412,0.55277836,0.25942555,0.12406378,1.0
0.8440525,0.28993934,0.43689528,0.16012934,1.0
0.48597905,0.6191781,0.24850443,0.11901363,1.0
0.59544384,0.4153642,0.28202674,0.1345151,1.0
0.7002314,0.3407163,0.38638583,0.18189861,1.0
0.90240645,0.2693371,0.45738903,0.15129668,1.0
0.5956781,0.41492814,0.28209844,0.13454826,1.0
